i_item_sk,class_key,brand_key,container_key,size_key
120,Shoes:mens,Stridewell,Dust Bag,large
121,Books:self-help,Bellwood,Hardcover,pocket
123,Electronics:monitors,Kentaur,Box,compact
126,Women:maternity,Ashgrove,Garment,S
127,Home:kids,Marrowgate,Roll,large
129,Electronics:audio,Voltaic,Case,pro
132,Women:fragrances,Ashgrove,Garment,XS
162,Shoes:mens,Stridewell,Dust Bag,small
133,Men:accessories,Ironclad,Garment,XL
135,Electronics:televisions,Kentaur,Box,pro
138,Books:entertainments,Bellwood,Hardcover,pocket
139,Books:fiction,Bellwood,Hardcover,large-print
141,Books:fiction,Bellwood,Paperback,large-print
144,Home:decor,Marrowgate,Set,small
145,Books:self-help,Fernglade,Hardcover,pocket
147,Men:shirts,Ironclad,Poly Bag,L
150,Shoes:mens,Farrow,Dust Bag,small
151,Children:school-uniforms,Pippet,Gift Box,toddler
153,Music:classical,Lonewave,Jewel Case,single
156,Men:pants,Ironclad,Garment,S
157,Books:reference,Bellwood,Hardcover,pocket
159,Men:accessories,Ironclad,Garment,M
163,Men:sports-apparel,Ironclad,Poly Bag,S
165,Sports:sailing,Summitline,Box,large
168,Women:dresses,Willowmere,Garment,L
169,Jewelry:semi-precious,Auravelle,Pouch,petite
171,Music:classical,Lonewave,Jewel Case,standard
174,Electronics:disk drives,Voltaic,Case,compact
175,Music:pop,Lonewave,Jewel Case,single
177,Music:pop,Lonewave,Digipak,standard
180,Books:sports,Fernglade,Paperback,large-print
183,Sports:guns,Redridge,Bag,small
186,Music:pop,Cinderpath,Digipak,single
187,Sports:outdoor,Summitline,Box,large
189,Children:toddlers,Pippet,Gift Box,newborn
192,Electronics:stereo,Kentaur,Blister,compact
193,Men:pants,Ironclad,Garment,S
195,Women:swimwear,Ashgrove,Garment,M
198,Jewelry:earings,Sablewynn,Jewel Box,petite
199,Children:newborn,Bramblewick,Gift Box,infant
201,Music:rock,Lonewave,Digipak,standard
204,Jewelry:gold,Auravelle,Pouch,standard
205,Books:parenting,Fernglade,Paperback,standard
207,Electronics:scanners,Voltaic,Box,standard
210,Women:maternity,Willowmere,Poly Bag,S
211,Women:fragrances,Ashgrove,Garment,XS
213,Music:pop,Lonewave,Jewel Case,single
216,Jewelry:jewelry boxes,Auravelle,Pouch,standard
217,Women:dresses,Willowmere,Garment,S
219,Men:shirts,Rowantree,Poly Bag,XL
222,Men:shirts,Ironclad,Poly Bag,S
223,Sports:outdoor,Summitline,Case,medium
225,Sports:guns,Summitline,Box,medium
228,Men:sports-apparel,Rowantree,Garment,M
229,Home:blinds/shades,Thistlecroft,Set,medium
231,Women:maternity,Willowmere,Garment,XS
234,Children:school-uniforms,Bramblewick,Poly Bag,infant
235,Music:rock,Cinderpath,Digipak,standard
237,Children:infants,Bramblewick,Gift Box,newborn
240,Sports:fitness,Redridge,Bag,large
241,Women:maternity,Ashgrove,Poly Bag,M
243,Men:accessories,Ironclad,Garment,L
247,Electronics:wireless,Voltaic,Blister,pro
249,Music:rock,Lonewave,Jewel Case,deluxe
252,Home:paint,Thistlecroft,Box,small
397,Books:arts,Bellwood,Paperback,large-print
253,Electronics:monitors,Voltaic,Blister,standard
255,Children:toddlers,Bramblewick,Gift Box,toddler
258,Children:newborn,Bramblewick,Poly Bag,toddler
259,Jewelry:costume,Auravelle,Jewel Box,statement
261,Electronics:audio,Voltaic,Blister,compact
264,Electronics:automotive,Voltaic,Blister,standard
265,Children:newborn,Pippet,Gift Box,newborn
267,Men:pants,Ironclad,Poly Bag,S
270,Music:rock,Cinderpath,Jewel Case,standard
271,Jewelry:rings,Auravelle,Pouch,statement
273,Sports:tennis,Summitline,Box,large
276,Books:science,Bellwood,Hardcover,pocket
277,Sports:football,Redridge,Bag,large
279,Jewelry:consignment,Auravelle,Pouch,standard
282,Home:wallpaper,Marrowgate,Set,small
283,Home:lighting,Marrowgate,Set,small
285,Books:reference,Bellwood,Paperback,pocket
288,Children:newborn,Pippet,Poly Bag,newborn
289,Electronics:cameras,Kentaur,Case,compact
291,Women:swimwear,Ashgrove,Poly Bag,L
294,Men:pants,Ironclad,Poly Bag,S
295,Men:shirts,Ironclad,Poly Bag,S
297,Shoes:womens,Stridewell,Dust Bag,small
300,Women:maternity,Ashgrove,Garment,L
301,Jewelry:pendants,Auravelle,Jewel Box,petite
303,Books:history,Fernglade,Paperback,large-print
306,Music:classical,Lonewave,Jewel Case,single
307,Music:pop,Lonewave,Digipak,deluxe
309,Men:sports-apparel,Rowantree,Garment,S
312,Men:sports-apparel,Ironclad,Garment,XL
313,Jewelry:loose stones,Auravelle,Jewel Box,statement
315,Men:shirts,Ironclad,Garment,XL
318,Electronics:disk drives,Voltaic,Case,standard
493,Music:classical,Lonewave,Digipak,standard
319,Sports:athletic shoes,Redridge,Case,medium
321,Children:toddlers,Bramblewick,Gift Box,toddler
324,Books:business,Fernglade,Hardcover,pocket
325,Men:sports-apparel,Ironclad,Garment,M
327,Jewelry:mens watch,Auravelle,Jewel Box,statement
330,Children:toddlers,Bramblewick,Gift Box,infant
331,Children:newborn,Pippet,Gift Box,newborn
333,Books:science,Fernglade,Paperback,pocket
336,Men:pants,Rowantree,Garment,M
337,Music:classical,Lonewave,Digipak,deluxe
339,Sports:outdoor,Redridge,Case,medium
342,Electronics:dvd/vcr players,Kentaur,Case,compact
343,Books:reference,Fernglade,Hardcover,large-print
345,Home:glassware,Marrowgate,Box,small
348,Shoes:womens,Stridewell,Shoe Box,large
349,Children:school-uniforms,Pippet,Gift Box,toddler
351,Electronics:audio,Kentaur,Case,pro
354,Home:kids,Marrowgate,Box,large
355,Music:rock,Lonewave,Jewel Case,standard
357,Men:shirts,Rowantree,Poly Bag,XL
360,Music:country,Cinderpath,Jewel Case,single
361,Women:fragrances,Willowmere,Poly Bag,L
363,Shoes:womens,Farrow,Shoe Box,medium
366,Music:pop,Lonewave,Jewel Case,single
367,Electronics:cameras,Kentaur,Box,standard
369,Sports:optics,Summitline,Case,small
372,Women:dresses,Willowmere,Poly Bag,XS
373,Women:swimwear,Ashgrove,Garment,M
375,Electronics:memory,Voltaic,Case,compact
378,Electronics:musical,Voltaic,Box,compact
379,Electronics:stereo,Voltaic,Case,compact
381,Music:rock,Lonewave,Jewel Case,deluxe
384,Shoes:womens,Stridewell,Dust Bag,large
385,Children:toddlers,Pippet,Gift Box,infant
387,Shoes:mens,Farrow,Shoe Box,medium
390,Electronics:wireless,Kentaur,Box,compact
391,Music:classical,Lonewave,Jewel Case,single
393,Children:infants,Bramblewick,Poly Bag,infant
396,Shoes:womens,Stridewell,Shoe Box,small
399,Children:infants,Pippet,Gift Box,newborn
402,Sports:outdoor,Summitline,Bag,medium
403,Music:country,Lonewave,Jewel Case,standard
405,Shoes:womens,Stridewell,Dust Bag,large
408,Home:kids,Thistlecroft,Box,small
409,Children:newborn,Bramblewick,Gift Box,infant
411,Women:swimwear,Willowmere,Garment,L
414,Men:pants,Ironclad,Poly Bag,XL
415,Men:pants,Ironclad,Poly Bag,M
417,Music:classical,Lonewave,Jewel Case,deluxe
420,Children:newborn,Pippet,Gift Box,infant
421,Electronics:karoke,Voltaic,Blister,compact
423,Home:furniture,Marrowgate,Set,large
426,Music:pop,Lonewave,Digipak,single
427,Children:infants,Bramblewick,Poly Bag,infant
429,Books:home repair,Bellwood,Hardcover,pocket
432,Home:rugs,Marrowgate,Set,large
433,Women:maternity,Ashgrove,Poly Bag,L
435,Music:rock,Lonewave,Digipak,standard
438,Men:sports-apparel,Rowantree,Poly Bag,XL
439,Children:infants,Bramblewick,Gift Box,toddler
441,Music:classical,Lonewave,Jewel Case,standard
444,Men:sports-apparel,Rowantree,Poly Bag,L
445,Women:fragrances,Ashgrove,Garment,S
447,Shoes:kids,Stridewell,Shoe Box,medium
450,Men:shirts,Ironclad,Garment,S
451,Women:maternity,Willowmere,Garment,M
453,Books:mystery,Bellwood,Hardcover,pocket
456,Women:fragrances,Willowmere,Poly Bag,XS
459,Home:decor,Marrowgate,Roll,large
463,Books:fiction,Bellwood,Hardcover,pocket
3652,Jewelry:costume,Auravelle,Jewel Box,standard
465,Shoes:kids,Stridewell,Dust Bag,medium
468,Home:wallpaper,Marrowgate,Set,large
469,Home:furniture,Marrowgate,Box,small
471,Men:sports-apparel,Rowantree,Garment,L
474,Jewelry:bracelets,Auravelle,Jewel Box,statement
475,Men:accessories,Rowantree,Garment,XL
477,Electronics:monitors,Voltaic,Blister,pro
480,Jewelry:diamonds,Sablewynn,Jewel Box,statement
481,Books:romance,Fernglade,Paperback,large-print
483,Shoes:mens,Farrow,Dust Bag,small
486,Jewelry:earings,Auravelle,Jewel Box,standard
487,Shoes:womens,Farrow,Shoe Box,medium
489,Jewelry:custom,Auravelle,Pouch,standard
492,Music:rock,Lonewave,Jewel Case,single
495,Shoes:mens,Stridewell,Shoe Box,large
498,Shoes:womens,Farrow,Shoe Box,small
499,Jewelry:semi-precious,Auravelle,Pouch,standard
501,Music:country,Lonewave,Jewel Case,standard
504,Shoes:womens,Farrow,Shoe Box,medium
505,Electronics:televisions,Voltaic,Blister,pro
507,Jewelry:earings,Auravelle,Jewel Box,standard
510,Home:flatware,Marrowgate,Roll,small
511,Music:country,Lonewave,Digipak,single
513,Shoes:womens,Stridewell,Dust Bag,small
516,Jewelry:gold,Sablewynn,Pouch,petite
16145,Sports:fitness,Summitline,Case,small
517,Jewelry:consignment,Auravelle,Jewel Box,statement
519,Home:bedding,Thistlecroft,Box,large
522,Electronics:disk drives,Voltaic,Blister,pro
523,Men:shirts,Rowantree,Poly Bag,XL
525,Children:newborn,Bramblewick,Poly Bag,toddler
528,Home:bedding,Marrowgate,Box,small
529,Children:newborn,Pippet,Gift Box,newborn
531,Children:infants,Pippet,Gift Box,newborn
534,Children:toddlers,Bramblewick,Gift Box,newborn
535,Jewelry:bracelets,Sablewynn,Pouch,petite
537,Books:arts,Bellwood,Paperback,pocket
540,Home:bathroom,Marrowgate,Box,small
541,Electronics:dvd/vcr players,Voltaic,Case,standard
543,Women:fragrances,Willowmere,Garment,XS
546,Sports:golf,Summitline,Bag,small
547,Children:newborn,Pippet,Gift Box,newborn
549,Books:parenting,Bellwood,Paperback,standard
552,Shoes:athletic,Stridewell,Shoe Box,large
553,Women:swimwear,Ashgrove,Garment,L
555,Women:dresses,Willowmere,Poly Bag,L
558,Shoes:womens,Stridewell,Shoe Box,large
559,Books:travel,Bellwood,Paperback,large-print
561,Men:pants,Rowantree,Garment,L
564,Men:accessories,Rowantree,Poly Bag,XL
565,Women:dresses,Willowmere,Poly Bag,M
567,Men:shirts,Ironclad,Poly Bag,XL
570,Sports:camping,Summitline,Bag,medium
571,Music:rock,Lonewave,Digipak,single
573,Home:rugs,Marrowgate,Box,medium
576,Music:pop,Cinderpath,Digipak,single
577,Music:rock,Lonewave,Digipak,standard
579,Men:sports-apparel,Ironclad,Garment,M
582,Jewelry:custom,Auravelle,Jewel Box,petite
583,Women:maternity,Willowmere,Garment,XS
585,Home:tables,Marrowgate,Roll,small
588,Electronics:monitors,Voltaic,Case,standard
589,Women:swimwear,Willowmere,Poly Bag,L
591,Shoes:athletic,Farrow,Dust Bag,large
594,Children:infants,Bramblewick,Gift Box,infant
595,Children:school-uniforms,Bramblewick,Poly Bag,infant
597,Shoes:womens,Stridewell,Dust Bag,large
600,Men:sports-apparel,Ironclad,Poly Bag,M
601,Music:pop,Cinderpath,Jewel Case,standard
603,Shoes:athletic,Stridewell,Shoe Box,small
606,Music:classical,Lonewave,Jewel Case,single
607,Electronics:memory,Voltaic,Blister,standard
609,Jewelry:semi-precious,Sablewynn,Pouch,standard
612,Children:newborn,Bramblewick,Poly Bag,newborn
613,Books:self-help,Bellwood,Hardcover,large-print
615,Children:toddlers,Bramblewick,Gift Box,newborn
618,Electronics:memory,Voltaic,Blister,compact
619,Home:mattresses,Marrowgate,Box,small
621,Women:fragrances,Ashgrove,Garment,S
624,Books:sports,Bellwood,Paperback,large-print
625,Men:shirts,Ironclad,Garment,S
627,Men:accessories,Ironclad,Garment,XL
630,Sports:tennis,Redridge,Case,large
631,Home:bedding,Marrowgate,Roll,small
633,Men:sports-apparel,Rowantree,Poly Bag,L
636,Children:school-uniforms,Bramblewick,Gift Box,infant
637,Women:maternity,Ashgrove,Poly Bag,XS
639,Men:sports-apparel,Rowantree,Poly Bag,S
642,Books:romance,Fernglade,Hardcover,large-print
643,Sports:golf,Summitline,Case,small
645,Sports:sailing,Redridge,Box,large
648,Home:tables,Marrowgate,Set,small
649,Jewelry:gold,Sablewynn,Pouch,statement
651,Books:travel,Bellwood,Hardcover,pocket
654,Books:travel,Fernglade,Paperback,large-print
655,Men:shirts,Ironclad,Poly Bag,M
657,Women:maternity,Willowmere,Poly Bag,S
660,Shoes:mens,Farrow,Shoe Box,large
661,Electronics:automotive,Kentaur,Blister,compact
663,Sports:optics,Summitline,Case,medium
666,Music:classical,Lonewave,Digipak,standard
667,Shoes:mens,Stridewell,Shoe Box,large
669,Music:country,Lonewave,Jewel Case,deluxe
672,Home:furniture,Marrowgate,Set,large
673,Sports:optics,Redridge,Bag,large
675,Home:blinds/shades,Marrowgate,Roll,small
678,Women:swimwear,Ashgrove,Poly Bag,XS
679,Jewelry:jewelry boxes,Auravelle,Pouch,statement
681,Children:newborn,Pippet,Poly Bag,newborn
684,Men:shirts,Ironclad,Garment,S
685,Music:country,Cinderpath,Jewel Case,deluxe
687,Jewelry:estate,Auravelle,Pouch,standard
690,Shoes:kids,Stridewell,Dust Bag,small
691,Sports:hockey,Summitline,Bag,medium
693,Home:bedding,Marrowgate,Box,medium
696,Home:bedding,Marrowgate,Roll,small
697,Children:toddlers,Pippet,Gift Box,newborn
699,Books:cooking,Bellwood,Hardcover,large-print
702,Women:maternity,Ashgrove,Poly Bag,S
703,Jewelry:costume,Auravelle,Jewel Box,petite
705,Books:romance,Bellwood,Paperback,standard
708,Electronics:scanners,Voltaic,Case,standard
709,Music:pop,Lonewave,Digipak,single
711,Women:maternity,Willowmere,Garment,S
714,Shoes:athletic,Stridewell,Shoe Box,small
715,Shoes:kids,Stridewell,Shoe Box,small
16264,Books:arts,Bellwood,Paperback,pocket
717,Women:dresses,Ashgrove,Garment,L
720,Books:mystery,Fernglade,Paperback,large-print
721,Home:flatware,Thistlecroft,Set,large
723,Books:entertainments,Bellwood,Hardcover,standard
726,Men:sports-apparel,Rowantree,Poly Bag,M
727,Women:maternity,Willowmere,Garment,M
729,Books:entertainments,Bellwood,Paperback,pocket
732,Home:furniture,Marrowgate,Set,large
733,Sports:fishing,Redridge,Bag,small
735,Shoes:mens,Farrow,Shoe Box,medium
738,Music:rock,Lonewave,Digipak,single
984,Electronics:karoke,Voltaic,Case,pro
739,Men:sports-apparel,Ironclad,Poly Bag,S
741,Books:cooking,Bellwood,Paperback,pocket
744,Children:toddlers,Bramblewick,Gift Box,toddler
745,Shoes:womens,Stridewell,Shoe Box,large
747,Sports:guns,Summitline,Box,small
750,Women:dresses,Willowmere,Poly Bag,XS
751,Home:blinds/shades,Marrowgate,Box,large
753,Electronics:automotive,Kentaur,Case,pro
756,Electronics:monitors,Kentaur,Blister,standard
757,Women:dresses,Ashgrove,Poly Bag,XS
759,Jewelry:diamonds,Auravelle,Pouch,petite
762,Home:tables,Thistlecroft,Set,large
763,Home:kids,Marrowgate,Set,large
765,Jewelry:pendants,Sablewynn,Jewel Box,statement
768,Children:newborn,Bramblewick,Gift Box,toddler
769,Jewelry:jewelry boxes,Auravelle,Pouch,statement
771,Electronics:dvd/vcr players,Voltaic,Blister,pro
774,Shoes:womens,Stridewell,Dust Bag,large
775,Women:dresses,Willowmere,Poly Bag,L
777,Sports:baseball,Summitline,Case,large
781,Women:fragrances,Willowmere,Poly Bag,S
783,Children:infants,Pippet,Poly Bag,newborn
786,Sports:sailing,Summitline,Case,medium
787,Children:newborn,Pippet,Poly Bag,toddler
789,Home:bedding,Marrowgate,Roll,small
792,Sports:fishing,Summitline,Box,large
793,Men:accessories,Ironclad,Poly Bag,S
795,Music:pop,Lonewave,Jewel Case,standard
798,Music:rock,Lonewave,Jewel Case,single
799,Home:decor,Marrowgate,Set,small
801,Electronics:wireless,Kentaur,Box,compact
804,Shoes:womens,Stridewell,Shoe Box,small
805,Books:romance,Bellwood,Hardcover,standard
807,Women:dresses,Willowmere,Garment,XS
810,Books:sports,Bellwood,Hardcover,standard
811,Books:computers,Bellwood,Hardcover,large-print
813,Electronics:karoke,Kentaur,Box,pro
816,Music:classical,Lonewave,Jewel Case,standard
817,Jewelry:birdal,Auravelle,Jewel Box,standard
819,Electronics:karoke,Voltaic,Blister,compact
822,Shoes:kids,Stridewell,Shoe Box,large
823,Books:fiction,Bellwood,Paperback,standard
825,Men:sports-apparel,Ironclad,Poly Bag,L
828,Women:dresses,Ashgrove,Poly Bag,M
829,Books:fiction,Fernglade,Hardcover,standard
831,Books:fiction,Bellwood,Hardcover,large-print
834,Men:sports-apparel,Ironclad,Garment,L
835,Sports:fishing,Summitline,Box,large
837,Sports:athletic shoes,Summitline,Bag,large
840,Sports:hockey,Redridge,Case,large
841,Electronics:camcorders,Voltaic,Box,standard
843,Shoes:athletic,Stridewell,Dust Bag,small
846,Music:rock,Cinderpath,Digipak,single
847,Women:fragrances,Ashgrove,Garment,XS
849,Children:toddlers,Bramblewick,Poly Bag,newborn
852,Women:maternity,Willowmere,Poly Bag,S
853,Electronics:audio,Voltaic,Blister,compact
855,Children:infants,Bramblewick,Gift Box,infant
858,Men:accessories,Ironclad,Garment,M
859,Shoes:athletic,Farrow,Dust Bag,large
861,Jewelry:jewelry boxes,Auravelle,Pouch,standard
864,Home:decor,Marrowgate,Box,large
865,Music:pop,Cinderpath,Digipak,deluxe
867,Men:shirts,Rowantree,Poly Bag,S
870,Women:maternity,Willowmere,Garment,S
871,Children:toddlers,Bramblewick,Poly Bag,toddler
873,Women:maternity,Willowmere,Poly Bag,XS
876,Children:newborn,Bramblewick,Gift Box,newborn
877,Music:country,Lonewave,Jewel Case,single
879,Music:country,Lonewave,Jewel Case,single
882,Electronics:wireless,Voltaic,Box,standard
883,Jewelry:diamonds,Auravelle,Pouch,standard
885,Men:shirts,Rowantree,Poly Bag,XL
888,Home:bedding,Thistlecroft,Roll,medium
889,Music:pop,Lonewave,Jewel Case,single
918,Books:entertainments,Bellwood,Paperback,standard
891,Books:business,Bellwood,Hardcover,pocket
894,Books:arts,Fernglade,Hardcover,pocket
895,Jewelry:womens watch,Auravelle,Pouch,standard
884,Electronics:musical,Voltaic,Blister,compact
897,Music:pop,Lonewave,Jewel Case,standard
900,Jewelry:womens watch,Sablewynn,Jewel Box,standard
901,Children:infants,Bramblewick,Poly Bag,toddler
903,Sports:guns,Summitline,Case,large
906,Music:classical,Lonewave,Digipak,single
907,Books:reference,Bellwood,Hardcover,pocket
909,Sports:golf,Summitline,Bag,large
912,Books:business,Bellwood,Hardcover,pocket
913,Shoes:kids,Stridewell,Dust Bag,medium
915,Electronics:automotive,Kentaur,Box,pro
919,Electronics:dvd/vcr players,Voltaic,Blister,compact
921,Home:flatware,Marrowgate,Box,medium
924,Home:bedding,Marrowgate,Roll,medium
925,Music:rock,Cinderpath,Jewel Case,single
927,Electronics:audio,Voltaic,Case,compact
930,Sports:fitness,Summitline,Case,small
931,Jewelry:diamonds,Auravelle,Pouch,standard
933,Books:romance,Bellwood,Paperback,large-print
936,Electronics:cameras,Kentaur,Box,compact
937,Home:wallpaper,Marrowgate,Roll,large
939,Sports:archery,Summitline,Box,small
942,Children:newborn,Bramblewick,Gift Box,newborn
943,Children:infants,Bramblewick,Poly Bag,infant
945,Electronics:dvd/vcr players,Kentaur,Blister,standard
948,Sports:pools,Summitline,Bag,medium
949,Electronics:automotive,Voltaic,Box,standard
951,Children:newborn,Bramblewick,Poly Bag,newborn
1917,Sports:archery,Summitline,Box,small
954,Children:toddlers,Pippet,Poly Bag,newborn
955,Books:romance,Fernglade,Paperback,large-print
957,Home:glassware,Marrowgate,Set,medium
960,Books:computers,Bellwood,Hardcover,pocket
961,Men:accessories,Ironclad,Poly Bag,M
963,Home:paint,Thistlecroft,Box,large
966,Music:classical,Lonewave,Digipak,deluxe
967,Jewelry:birdal,Auravelle,Pouch,standard
969,Music:country,Lonewave,Digipak,single
972,Home:glassware,Thistlecroft,Box,large
973,Home:flatware,Marrowgate,Roll,large
1236,Men:accessories,Ironclad,Garment,L
975,Books:romance,Bellwood,Hardcover,standard
978,Jewelry:costume,Sablewynn,Jewel Box,statement
979,Men:sports-apparel,Ironclad,Garment,L
981,Men:sports-apparel,Ironclad,Garment,XL
985,Children:infants,Pippet,Gift Box,toddler
987,Women:swimwear,Willowmere,Garment,L
990,Electronics:musical,Kentaur,Blister,compact
991,Children:toddlers,Bramblewick,Gift Box,newborn
993,Children:newborn,Bramblewick,Poly Bag,toddler
996,Children:toddlers,Bramblewick,Poly Bag,toddler
997,Men:pants,Ironclad,Poly Bag,M
999,Children:newborn,Pippet,Poly Bag,newborn
1002,Books:reference,Bellwood,Hardcover,large-print
1003,Jewelry:pendants,Auravelle,Pouch,petite
1323,Home:blinds/shades,Marrowgate,Set,small
1005,Home:accent,Thistlecroft,Set,large
1008,Electronics:musical,Voltaic,Box,standard
1009,Electronics:personal,Voltaic,Case,standard
1011,Sports:athletic shoes,Summitline,Box,small
1014,Children:school-uniforms,Bramblewick,Poly Bag,infant
1015,Women:dresses,Ashgrove,Poly Bag,M
1017,Shoes:mens,Stridewell,Dust Bag,large
1020,Books:history,Fernglade,Paperback,pocket
1021,Books:romance,Fernglade,Hardcover,large-print
1023,Jewelry:diamonds,Auravelle,Jewel Box,standard
